elapsed_s,tg128_tok_s,model
0,"37.407776",bonsai_8b
5,"39.148075",bonsai_8b
8,"40.579831",bonsai_8b
12,"40.342864",bonsai_8b
16,"40.560865",bonsai_8b
20,"40.688862",bonsai_8b
23,"40.786453",bonsai_8b
27,"40.612581",bonsai_8b
31,"40.675487",bonsai_8b
34,"40.815563",bonsai_8b
38,"40.620519",bonsai_8b
42,"40.722020",bonsai_8b
45,"40.800922",bonsai_8b
49,"40.752585",bonsai_8b
53,"40.695466",bonsai_8b
57,"39.599384",bonsai_8b
60,"40.408683",bonsai_8b
64,"40.462263",bonsai_8b
68,"40.163503",bonsai_8b
71,"39.808484",bonsai_8b
75,"40.448009",bonsai_8b
79,"40.282708",bonsai_8b
83,"40.269826",bonsai_8b
86,"40.285945",bonsai_8b
90,"40.420908",bonsai_8b
94,"40.253015",bonsai_8b
98,"40.332302",bonsai_8b
101,"40.122299",bonsai_8b
105,"40.316002",bonsai_8b
109,"40.289427",bonsai_8b
113,"40.301211",bonsai_8b
116,"40.417045",bonsai_8b
120,"40.231803",bonsai_8b
124,"40.263552",bonsai_8b
127,"40.227366",bonsai_8b
131,"40.275925",bonsai_8b
135,"40.423147",bonsai_8b
139,"40.368530",bonsai_8b
142,"40.058286",bonsai_8b
146,"40.323012",bonsai_8b
150,"40.242262",bonsai_8b
154,"40.241086",bonsai_8b
157,"40.387834",bonsai_8b
161,"40.386945",bonsai_8b
165,"40.356999",bonsai_8b
169,"40.366618",bonsai_8b
172,"40.271033",bonsai_8b
176,"40.365413",bonsai_8b
180,"40.266394",bonsai_8b
183,"40.109289",bonsai_8b
187,"40.399476",bonsai_8b
191,"40.302973",bonsai_8b
195,"40.400513",bonsai_8b
198,"40.157047",bonsai_8b
202,"40.442352",bonsai_8b
206,"40.231105",bonsai_8b
210,"40.362347",bonsai_8b
213,"40.329685",bonsai_8b
217,"40.367379",bonsai_8b
221,"40.281747",bonsai_8b
224,"40.444221",bonsai_8b
228,"40.229957",bonsai_8b
232,"40.241992",bonsai_8b
236,"40.321359",bonsai_8b
239,"40.213746",bonsai_8b
243,"40.293710",bonsai_8b
247,"40.143173",bonsai_8b
251,"40.341174",bonsai_8b
254,"40.169119",bonsai_8b
258,"40.292054",bonsai_8b
262,"40.406300",bonsai_8b
266,"40.294874",bonsai_8b
269,"40.163194",bonsai_8b
273,"40.247583",bonsai_8b
277,"40.386778",bonsai_8b
281,"40.268500",bonsai_8b
284,"40.231487",bonsai_8b
288,"40.388802",bonsai_8b
292,"40.340734",bonsai_8b
295,"40.289936",bonsai_8b
299,"40.342070",bonsai_8b
